;LREM  (g);Les Républicains  (g);Rassemblement National  (g);Far-Left|LFI  (g);Human Rights|EELV  (g);Centre-Right Support  (g);Socialist Support  (g);Mainstream Media  (g);Map Count
france;3,85;-0,07;3,86;1,91;0,08;-1,66;-3,74;-5,93;4664
paris;-10,5;-8,2;-13,73;-8,76;7,01;-6,1;2,01;25,33;3631
paris france;-1,49;-4,71;-5,81;-4,32;3,6;-3,59;-0,58;6,74;1231
ile-de-france;1,72;-0,18;0,38;-0,34;-0,56;1,08;1,89;-1,9;397
lyon;1,7;-0,18;0,58;-0,96;-0,23;0,35;-0,93;-1,95;330
marseille;-2,83;0,97;0,28;0,39;0,53;-1,19;-3,1;4,81;216
toulouse;-0,16;-0,67;-1,41;-0,59;-0,26;-0,91;-0,55;3,21;193
ile-de-france france;-0,16;1,08;2,11;0,05;-0,26;0,01;-0,23;-2,06;185
nantes;-1,55;-0,93;-1,46;0,67;0,96;-0,28;3,36;-0,34;175
bretagne;1,93;0,15;0,19;0,41;-1,78;-0,03;1,51;0,33;150
paris ile-de-france;-1,64;-1,94;-1,37;-1,64;0,26;0,03;2,31;3,07;150
bordeaux;1,09;1,01;-0,71;-0,22;-0,07;-1,51;0,53;0,7;138
paris -;-3,1;0,81;-3;-3,04;1,27;0,04;0,56;3,12;138
lille;-0,28;-1,59;-1,3;0,22;1,01;8,39;-0,47;0,12;124
rennes;-0,57;-1,68;-1,72;0,56;0,73;-1,89;1,74;2,46;122
nice;-1,39;5,05;1,54;-1,28;-2,8;0,15;-0,4;-0,39;119
rhône-alpes;1,82;0,24;3,33;1,86;-0,72;0,24;-2,03;-2,51;119
europe;1,27;-2,75;-0,27;-0,28;1,74;0,89;-1,14;-1,3;118
bruxelles;-2,33;-0,22;-1,44;-0,66;2,24;-1,62;-0,19;-2,69;116
loire;0,2;1,07;3,56;-0,19;-0,18;0,98;0,28;-3,24;104
lyon france;1,82;0,51;-0,13;-1,51;-0,15;-0,3;0,32;-2,01;83
montpellier;0,31;-1,95;-0,1;0,33;-0,95;-0,28;0,81;1,65;79
strasbourg;-0,86;-0,28;-0,88;-0,98;-0,47;-0,9;1,81;-0,35;78
pays;0,53;0,8;3,93;-0,46;0,46;1,82;-0,44;-3,35;76
marseille france;-0,13;0,16;2,54;0,22;0,27;-1,47;-2,21;1,08;75
toulouse france;0,67;-0,75;-1,47;0,79;1,26;-1,45;-1,18;1,55;74
- france;-1,7;0,34;-0,52;-1,17;2,7;0,73;-0,65;-1,04;73
pays de;0,64;0,95;3,45;-0,54;0,09;1,6;-0,52;-3,23;71
